epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6914,0.83668,2.04698,1.1443,0.69766,0.67675,0.69215,0.50556,0.9154,1.33241,1.25795,0.000467346,0.000467346,0.000467346
2,321.788,0.99522,1.18116,1.21064,0.54294,0.6029,0.54927,0.36936,1.17668,2.43758,1.50022,0.000924994,0.000924994,0.000924994
3,573.407,1.10658,1.17127,1.28346,0.50536,0.5403,0.53065,0.35625,1.3334,2.33709,1.64632,0.00136378,0.00136378,0.00136378
4,773.538,1.13755,1.17908,1.29915,0.5015,0.38452,0.34539,0.19752,1.8237,2.71442,1.97664,0.00134412,0.00134412,0.00134412
5,945.015,1.10077,1.05659,1.27597,0.76676,0.68236,0.71475,0.50472,1.04174,1.42304,1.30765,0.00131582,0.00131582,0.00131582
6,1241.72,1.04519,0.9747,1.23823,0.82874,0.70583,0.79828,0.60089,0.93999,1.20403,1.23561,0.00128753,0.00128753,0.00128753
7,1473.57,1.02835,0.97327,1.24663,0.90653,0.67776,0.75374,0.56954,0.99011,1.03881,1.27286,0.00125923,0.00125923,0.00125923
8,1722.36,0.93446,0.86781,1.18276,0.80702,0.72537,0.81577,0.62954,0.87285,0.90969,1.15969,0.00123094,0.00123094,0.00123094
9,1882.21,0.93696,0.82345,1.17711,0.7904,0.62272,0.70768,0.5367,1.01292,1.44517,1.29673,0.00120265,0.00120265,0.00120265
10,2163.52,0.91628,0.78594,1.17035,0.8939,0.73672,0.80843,0.61769,0.85996,0.84917,1.17651,0.00117435,0.00117435,0.00117435
11,2285.91,0.87716,0.75814,1.1415,0.82552,0.66133,0.71606,0.56225,0.92574,1.15913,1.21228,0.00114606,0.00114606,0.00114606
12,2590.16,0.85022,0.72125,1.11187,0.92322,0.74931,0.84664,0.68311,0.80965,0.7748,1.10377,0.00111776,0.00111776,0.00111776
13,2784.89,0.81118,0.70073,1.0969,0.90422,0.72648,0.82859,0.66597,0.78703,0.86804,1.09308,0.00108947,0.00108947,0.00108947
14,3080.04,0.78963,0.66101,1.07195,0.94645,0.798,0.89533,0.74677,0.69274,0.61081,1.03983,0.00106118,0.00106118,0.00106118
15,3257.98,0.80399,0.6748,1.09681,0.91242,0.83173,0.87301,0.70374,0.74324,0.69632,1.07976,0.00103288,0.00103288,0.00103288
16,3496.36,0.75436,0.62877,1.06842,0.88571,0.83214,0.86996,0.73732,0.65908,0.64737,1.01229,0.00100459,0.00100459,0.00100459
17,3811.04,0.71375,0.60365,1.03612,0.91581,0.82175,0.8868,0.7544,0.62147,0.58935,1.00555,0.000976293,0.000976293,0.000976293
18,4077.71,0.68061,0.55428,1.01924,0.9454,0.80452,0.89832,0.73339,0.69687,0.57729,1.05668,0.000947999,0.000947999,0.000947999
19,4257.02,0.67095,0.56462,1.02167,0.87021,0.79357,0.84188,0.70022,0.74691,0.71683,1.12227,0.000919704,0.000919704,0.000919704
20,4480.62,0.69147,0.56714,1.0242,0.957,0.86482,0.91595,0.79509,0.5535,0.49984,0.95325,0.00089141,0.00089141,0.00089141
21,4687.83,0.65297,0.54214,1.01167,0.96622,0.77972,0.86471,0.71293,0.72021,0.66136,1.08608,0.000863116,0.000863116,0.000863116
22,4996.79,0.65605,0.54876,1.00698,0.96934,0.85207,0.91857,0.77874,0.61156,0.4952,0.98416,0.000834822,0.000834822,0.000834822
23,5169.62,0.70034,0.54035,1.03761,0.9381,0.84629,0.90345,0.76868,0.60413,0.53665,0.99463,0.000806528,0.000806528,0.000806528
24,5348.4,0.64621,0.54163,1.00935,0.95181,0.87099,0.92375,0.80064,0.56313,0.48434,0.96315,0.000778233,0.000778233,0.000778233
25,5652.8,0.61806,0.49318,0.99604,0.96621,0.82357,0.9035,0.76789,0.60307,0.53287,1.00899,0.000749939,0.000749939,0.000749939
26,5921.45,0.61807,0.4975,1.00201,0.95732,0.82048,0.89942,0.77205,0.62113,0.54839,1.01752,0.000721645,0.000721645,0.000721645
27,6078.92,0.61188,0.49102,0.99937,0.9723,0.86891,0.93073,0.80965,0.50765,0.41643,0.93756,0.000693351,0.000693351,0.000693351
28,6276.79,0.59536,0.47733,0.98324,0.9613,0.88986,0.92355,0.82315,0.46843,0.41553,0.9207,0.000665057,0.000665057,0.000665057
29,6634.41,0.57477,0.46976,0.96946,0.95117,0.87926,0.91965,0.8048,0.51005,0.42857,0.93321,0.000636762,0.000636762,0.000636762
30,6936.72,0.54145,0.44231,0.96223,0.98831,0.88492,0.93042,0.82092,0.49968,0.39499,0.93224,0.000608468,0.000608468,0.000608468
31,7127.72,0.57314,0.45224,0.97903,0.9751,0.88241,0.92241,0.81865,0.52983,0.43043,0.9553,0.000580174,0.000580174,0.000580174
32,7429.31,0.55948,0.45328,0.97729,0.9563,0.88269,0.9163,0.81867,0.49047,0.43548,0.93134,0.00055188,0.00055188,0.00055188
33,7755.64,0.52972,0.41143,0.96219,0.98749,0.89731,0.93255,0.8304,0.491,0.39469,0.94319,0.000523586,0.000523586,0.000523586
34,8039.17,0.52544,0.40429,0.94498,0.96655,0.90311,0.93228,0.82659,0.47687,0.41404,0.92763,0.000495291,0.000495291,0.000495291
35,8213.85,0.51554,0.40837,0.94913,0.94635,0.8612,0.92566,0.82659,0.49115,0.4394,0.93707,0.000466997,0.000466997,0.000466997
36,8446.39,0.50637,0.38801,0.94072,0.97127,0.89844,0.93303,0.84205,0.45902,0.37237,0.92343,0.000438703,0.000438703,0.000438703
37,8680.91,0.49955,0.37314,0.95111,0.97427,0.87755,0.93011,0.85456,0.44653,0.39035,0.91017,0.000410409,0.000410409,0.000410409
38,8991.82,0.51316,0.38826,0.94355,0.98033,0.87361,0.92826,0.83114,0.48739,0.38422,0.93882,0.000382115,0.000382115,0.000382115
39,9156.04,0.49188,0.37617,0.9339,0.9913,0.897,0.93763,0.8469,0.45721,0.35944,0.92607,0.00035382,0.00035382,0.00035382
40,9481.9,0.48961,0.36701,0.93529,0.95452,0.91377,0.9309,0.845,0.45062,0.37016,0.91312,0.000325526,0.000325526,0.000325526
41,9773.85,0.39387,0.305,0.8845,0.98053,0.85203,0.92174,0.83817,0.44969,0.40963,0.90749,0.000297232,0.000297232,0.000297232
